Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,User_Score,User_Count
Wii Sports,Wii,2006.0,Sports,Nintendo,82.53,76.0,8.0,322.0
Mario Kart Wii,Wii,2008.0,Racing,Nintendo,35.52,82.0,8.3,709.0
Wii Sports Resort,Wii,2009.0,Sports,Nintendo,32.77,80.0,8.0,192.0
New Super Mario Bros.,DS,2006.0,Platform,Nintendo,29.8,89.0,8.5,431.0
Wii Play,Wii,2006.0,Misc,Nintendo,28.92,58.0,6.6,129.0
New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,28.32,87.0,8.4,594.0
Mario Kart DS,DS,2005.0,Racing,Nintendo,23.21,91.0,8.6,464.0
Wii Fit,Wii,2007.0,Sports,Nintendo,22.7,80.0,7.7,146.0
Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,21.81,61.0,6.3,106.0
Wii Fit Plus,Wii,2009.0,Sports,Nintendo,21.79,80.0,7.4,52.0
Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,21.04,97.0,8.2,3994.0
Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,20.81,95.0,9.0,1588.0
Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,20.15,77.0,7.9,50.0
Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,16.27,97.0,8.1,3711.0
Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,16.15,95.0,8.7,730.0
Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,15.29,77.0,7.1,19.0
Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,14.98,95.0,8.4,314.0
Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,14.73,88.0,3.4,8713.0
Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,14.61,87.0,6.3,1454.0
Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,13.79,83.0,5.3,922.0
Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,13.67,83.0,4.8,2256.0
Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,13.47,94.0,6.3,2698.0
Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,13.32,88.0,3.2,5234.0
Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,13.1,97.0,8.5,664.0
Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,12.84,93.0,8.9,1662.0
Mario Kart 7,3DS,2011.0,Racing,Nintendo,12.66,85.0,8.2,632.0
Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,12.63,88.0,6.4,1094.0
Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,12.61,97.0,8.3,2899.0
Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,12.13,86.0,8.7,242.0
Halo 3,X360,2007.0,Shooter,Microsoft Game Studios,12.12,94.0,7.8,4100.0
Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,11.66,89.0,8.5,272.0
Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,11.35,97.0,8.9,2147.0
Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,11.01,98.0,7.9,2951.0
Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment,10.95,96.0,8.7,138.0
Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,10.81,90.0,8.4,921.0
Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,10.7,84.0,7.5,1112.0
Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,10.6,94.0,6.3,2073.0
Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,10.5,98.0,7.5,2833.0
Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,10.25,73.0,2.6,2117.0
Just Dance 3,Wii,2011.0,Misc,Ubisoft,10.12,74.0,7.8,16.0
New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,9.9,78.0,7.2,424.0
Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,9.86,91.0,7.9,2045.0
Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,9.72,92.0,9.2,1282.0
Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,9.71,87.0,7.0,3260.0
Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,9.49,93.0,9.0,135.0
Just Dance 2,Wii,2010.0,Misc,Ubisoft,9.44,74.0,7.3,24.0
Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,9.36,71.0,2.6,1047.0
Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,9.31,94.0,8.4,1320.0
Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,9.16,88.0,8.7,626.0
Mario Party DS,DS,2007.0,Misc,Nintendo,8.91,72.0,7.8,85.0
The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,8.79,96.0,8.4,3589.0
FIFA 16,PS4,2015.0,Sports,Electronic Arts,8.57,82.0,4.3,896.0
Halo 2,XB,2004.0,Shooter,Microsoft Game Studios,8.49,95.0,8.2,1218.0
Wii Party,Wii,2010.0,Misc,Nintendo,8.38,68.0,7.4,54.0
Mario Party 8,Wii,2007.0,Misc,Nintendo,8.27,62.0,6.3,190.0
FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,8.16,88.0,6.6,348.0
Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,8.05,92.0,8.7,1056.0
The Sims 3,PC,2009.0,Simulation,Electronic Arts,8.01,86.0,7.6,886.0
Final Fantasy VIII,PS,1999.0,Role-Playing,SquareSoft,7.86,90.0,8.6,644.0
Pokémon Platinum Version,DS,2008.0,Role-Playing,Nintendo,7.72,83.0,8.5,203.0
Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,7.69,88.0,7.6,451.0
Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision,7.66,83.0,5.7,1443.0
FIFA 17,PS4,2016.0,Sports,Electronic Arts,7.59,85.0,5.0,398.0
Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,7.51,97.0,9.1,1854.0
Call of Duty: World at War,X360,2008.0,Shooter,Activision,7.38,84.0,7.6,580.0
Battlefield 3,X360,2011.0,Shooter,Electronic Arts,7.32,84.0,7.4,2142.0
Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,7.2,85.0,8.6,171.0
Just Dance,Wii,2009.0,Misc,Ubisoft,7.2,49.0,8.0,110.0
Battlefield 3,PS3,2011.0,Shooter,Electronic Arts,7.17,85.0,7.5,1761.0
Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,7.16,87.0,6.5,4228.0
Tekken 3,PS,1998.0,Fighting,Sony Computer Entertainment,7.16,96.0,9.1,367.0
The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,7.15,95.0,9.0,1658.0
Crash Bandicoot 3: Warped,PS,1998.0,Platform,Sony Computer Entertainment,7.13,91.0,8.9,432.0
Mario Kart 8,WiiU,2014.0,Racing,Nintendo,7.09,88.0,9.1,1599.0
Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,7.07,92.0,9.1,568.0
Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts,6.9,82.0,8.6,132.0
Medal of Honor: Frontline,PS2,2002.0,Shooter,Electronic Arts,6.83,88.0,8.5,135.0
Just Dance 4,Wii,2012.0,Misc,Ubisoft,6.76,74.0,7.3,28.0
Gears of War 2,X360,2008.0,Shooter,Microsoft Game Studios,6.75,93.0,7.7,2739.0
Uncharted 3: Drake's Deception,PS3,2011.0,Action,Sony Computer Entertainment,6.74,92.0,8.3,3712.0
Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,Activision,6.68,94.0,8.4,993.0
Uncharted 2: Among Thieves,PS3,2009.0,Action,Sony Computer Entertainment,6.66,96.0,8.8,5187.0
Big Brain Academy,DS,2005.0,Misc,Nintendo,6.62,74.0,7.4,27.0
Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive,6.49,95.0,8.8,2456.0
FIFA 14,PS3,2013.0,Sports,Electronic Arts,6.47,86.0,4.3,576.0
Assassin's Creed III,PS3,2012.0,Action,Ubisoft,6.45,85.0,6.9,1307.0
Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo,6.44,87.0,8.6,368.0
Halo: Combat Evolved,XB,2001.0,Shooter,Microsoft Game Studios,6.43,97.0,8.6,1283.0
The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,6.41,92.0,6.4,2527.0
Pokémon Emerald Version,GBA,2004.0,Role-Playing,Nintendo,6.41,76.0,9.0,222.0
Kingdom Hearts,PS2,2002.0,Role-Playing,Sony Computer Entertainment,6.4,85.0,8.8,597.0
Halo 3: ODST,X360,2009.0,Shooter,Microsoft Game Studios,6.34,83.0,7.1,1163.0
Red Dead Redemption,X360,2010.0,Action,Take-Two Interactive,6.32,95.0,9.0,2316.0
Super Mario Sunshine,GC,2002.0,Platform,Nintendo,6.31,92.0,8.6,439.0
World of Warcraft,PC,2004.0,Role-Playing,Activision,6.29,93.0,7.3,2182.0
Driver,PS,1999.0,Action,GT Interactive,6.27,87.0,8.1,78.0
Gears of War 3,X360,2011.0,Shooter,Microsoft Game Studios,6.21,91.0,7.8,1504.0
Kinect Sports,X360,2010.0,Sports,Microsoft Game Studios,6.19,73.0,7.4,95.0
Gears of War,X360,2006.0,Shooter,Microsoft Game Studios,6.09,94.0,8.3,2295.0
FIFA 15,PS4,2014.0,Sports,Electronic Arts,6.08,82.0,5.7,988.0
Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,Konami Digital Entertainment,6.05,96.0,8.7,1026.0
Metal Gear Solid,PS,1998.0,Action,Konami Digital Entertainment,6.03,94.0,9.4,918.0
